cond,target,anchor,pseudo,r,resid,lam,rmse,bias,n,n_fold,n_seed
covonly,Canada,stefan_soil_cci,const,10.0,mlp,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,mlp,0.25,29.637666666666664,-6.701333333333333,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,mlp,0.5,32.330333333333336,-12.823666666666668,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,mlp,0.75,36.47266666666667,-18.945666666666668,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,mlp,1.0,41.634,-25.067666666666668,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,ridge,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,ridge,0.25,29.245666666666665,-6.531333333333333,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,ridge,0.5,31.49933333333333,-12.483666666666666,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,ridge,0.75,35.219,-18.436,370,1,3
covonly,Canada,stefan_soil_cci,const,10.0,ridge,1.0,39.99766666666667,-24.388,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,catboost_lo,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,catboost_lo,0.25,28.747666666666664,-2.4153333333333333,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,catboost_lo,0.5,28.976,-4.251333333333333,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,catboost_lo,0.75,29.483,-6.0873333333333335,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,catboost_lo,1.0,30.253,-7.923666666666667,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,mlp,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,mlp,0.25,28.105999999999998,-2.8040000000000003,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,mlp,0.5,27.89233333333333,-5.029333333333334,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,mlp,0.75,28.171000000000003,-7.254333333333332,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,mlp,1.0,28.923000000000002,-9.479000000000001,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,ridge,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,ridge,0.25,29.395,-7.608,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,ridge,0.5,32.006,-14.637,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,ridge,0.75,36.203,-21.666,370,1,3
covonly,Canada,stefan_soil_cci,none,0.0,ridge,1.0,41.507,-28.695000000000004,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,catboost_lo,0.0,28.804999999999996,-0.579,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,catboost_lo,0.25,29.505333333333336,-3.9426666666666663,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,catboost_lo,0.5,31.200999999999997,-7.3069999999999995,370,1,3
covonly,Canada,stefan_soil_cci,shuffle,10.0,catboost_lo,0.75,33.74133333333333,-10.670333333333332,370,1,3
