setting,region,seed,lam,n,family,anchor,resid,pseudo,r,rmse_cm,bias_cm,ci_lo,ci_hi,error
pseudo,Lena,1,1.0,1518,model,stefan,catboost,cci,10.0,16.688,-7.942,12.243641469425185,30.43421220078025,
pseudo,Lena,2,0.0,1518,model,stefan,catboost,cci,10.0,18.548,11.705,16.277760661947624,25.419895252173298,
pseudo,Lena,2,0.25,1518,model,stefan,catboost,cci,10.0,15.925,6.798,13.863922387700025,24.10629673311701,
pseudo,Lena,2,0.5,1518,model,stefan,catboost,cci,10.0,14.576,1.89,12.335865106481375,25.43197158116796,
pseudo,Lena,2,0.75,1518,model,stefan,catboost,cci,10.0,14.854,-3.018,11.396842973522897,27.716680356792782,
pseudo,Lena,2,1.0,1518,model,stefan,catboost,cci,10.0,16.677,-7.925,12.560063846493508,30.74468618680989,
pseudo,Lena,0,0.0,1518,model,stefan,catboost,const,1.0,18.548,11.705,16.241707210329377,26.44619284415228,
pseudo,Lena,0,0.25,1518,model,stefan,catboost,const,1.0,17.059,9.289,14.741073291330132,26.34533190027105,
pseudo,Lena,0,0.5,1518,model,stefan,catboost,const,1.0,15.815,6.873,13.422787450411244,26.28570028493442,
pseudo,Lena,0,0.75,1518,model,stefan,catboost,const,1.0,14.876,4.457,12.414227868371436,26.586908320748265,
pseudo,Lena,0,1.0,1518,model,stefan,catboost,const,1.0,14.302,2.041,11.834926288954929,27.128503577124178,
pseudo,Lena,1,0.0,1518,model,stefan,catboost,const,1.0,18.548,11.705,16.08377859260714,25.871935510091735,
pseudo,Lena,1,0.25,1518,model,stefan,catboost,const,1.0,17.107,9.358,14.600734595069778,25.21904490891733,
pseudo,Lena,1,0.5,1518,model,stefan,catboost,const,1.0,15.897,7.01,13.40783589556032,24.561317411193592,
pseudo,Lena,1,0.75,1518,model,stefan,catboost,const,1.0,14.972,4.663,12.522463195655735,24.14405678779285,
pseudo,Lena,1,1.0,1518,model,stefan,catboost,const,1.0,14.388,2.315,11.990367955781279,24.322172732808003,
pseudo,Lena,2,0.0,1518,model,stefan,catboost,const,1.0,18.548,11.705,16.277760661947624,25.419895252173298,
pseudo,Lena,2,0.25,1518,model,stefan,catboost,const,1.0,17.145,9.401,14.909249715977417,24.396999785543567,
pseudo,Lena,2,0.5,1518,model,stefan,catboost,const,1.0,15.968,7.097,13.725293944506435,23.860869595398007,
pseudo,Lena,2,0.75,1518,model,stefan,catboost,const,1.0,15.071,4.792,12.828818987722242,24.160806156573287,
pseudo,Lena,2,1.0,1518,model,stefan,catboost,const,1.0,14.504,2.488,12.261904379341807,24.66634976705219,
pseudo,Lena,0,0.0,1518,model,stefan,mlp,stefan,1.0,18.548,11.705,16.241707210329377,26.44619284415228,
pseudo,Lena,0,0.25,1518,model,stefan,mlp,stefan,1.0,18.562,11.74,16.272546497442246,26.43015424039024,
pseudo,Lena,0,0.5,1518,model,stefan,mlp,stefan,1.0,18.577,11.775,16.304409889289815,26.40830807352082,
pseudo,Lena,0,0.75,1518,model,stefan,mlp,stefan,1.0,18.594,11.81,16.33729140009368,26.387280754618804,
pseudo,Lena,0,1.0,1518,model,stefan,mlp,stefan,1.0,18.61,11.845,16.371184903156085,26.367074250269297,
