proto,target,family,anchor,pseudo,resid,r,lam,rmse,bias,sd,n,nseed,name
half,Canada,anchored,stefan,stefan,mlp,0.5,0.0,31.289,-8.507,,371,1,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,mlp,0.5,0.25,105.797,-13.301,,371,1,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,mlp,0.5,0.5,195.33,-18.096,,371,1,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,mlp,0.5,0.75,286.114,-22.891,,371,1,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,mlp,0.5,1.0,377.247,-27.686,,371,1,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · Stefan 증강(r=0.5)
half,Canada,anchored,stefan,stefan,mlp,2.0,0.0,31.289,-8.507,,371,1,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,mlp,2.0,0.25,55.365,-5.775,,371,1,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,mlp,2.0,0.5,107.654,-3.043,,371,1,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,mlp,2.0,0.75,162.945,-0.312,,371,1,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,mlp,2.0,1.0,218.977,2.42,,371,1,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · Stefan 증강(r=2)
half,Canada,anchored,stefan,stefan,mlp,5.0,0.0,31.289,-8.507,0.0,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · Stefan 증강(r=5)
half,Canada,anchored,stefan,stefan,mlp,5.0,0.25,31.4425,-8.648,0.14919953083036047,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · Stefan 증강(r=5)
half,Canada,anchored,stefan,stefan,mlp,5.0,0.5,31.6005,-8.789,0.30334880912903034,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · Stefan 증강(r=5)
half,Canada,anchored,stefan,stefan,mlp,5.0,0.75,31.7625,-8.9305,0.46174072811481465,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · Stefan 증강(r=5)
half,Canada,anchored,stefan,stefan,mlp,5.0,1.0,31.93,-9.0715,0.6250823945689082,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · Stefan 증강(r=5)
half,Canada,anchored,stefan,stefan,mlp,10.0,0.0,31.289,-8.507,0.0,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · Stefan 증강(r=10)
half,Canada,anchored,stefan,stefan,mlp,10.0,0.25,64.4485,-5.920999999999999,46.814004448455385,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · Stefan 증강(r=10)
half,Canada,anchored,stefan,stefan,mlp,10.0,0.5,114.787,-3.3359999999999994,117.91854104423105,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · Stefan 증강(r=10)
half,Canada,anchored,stefan,stefan,mlp,10.0,0.75,165.937,-0.7510000000000003,190.16505509162297,371,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · Stefan 증강(r=10)
