source,site,lat,lon,depth_m,temp_c,year,elev_m,gtnp_id
PERMOS,COR_0200,46.4285,9.822,56.0,-0.03186,2017.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,25.0,-0.11112,2009.0,2672.3,CH 14
PERMOS,ATT_0108,46.0968,7.2731,8.5,-0.58307,2015.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,10.0,-0.76227,2023.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,12.5,-0.65571,2018.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,15.0,-0.63958,2023.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,17.5,-0.56342,2023.0,2661.0,CH 01
PERMOS,COR_0200,46.4285,9.822,44.0,0.15804,2003.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,62.0,0.10758,2011.0,2672.3,CH 14
PERMOS,ATT_0108,46.0968,7.2731,10.0,-0.75615,2017.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,2.0,0.11313,2022.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,10.0,-0.68557,2013.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,6.0,-0.7287,2018.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,3.0,-0.1564,2022.0,2661.0,CH 01
PERMOS,ATT_0108,46.0968,7.2731,7.0,-0.67883,2013.0,2661.0,CH 01
PERMOS,COR_0200,46.4285,9.822,44.0,0.40529,2015.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,62.0,0.03586,2008.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,59.0,0.34825,2013.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,40.0,-0.41011,2015.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,40.0,-0.41463,2010.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,58.0,0.05786,2008.0,2672.3,CH 14
PERMOS,COR_0200,46.4285,9.822,58.0,0.03387,2003.0,2672.3,CH 14
