target,model,phys,r,seed,rmse_cm,mae_cm,bias_cm,skill,delta_rmse_vs_base
Canada,mlp,kudryavtsev,0.25,SUMMARY,24351.069333333333,,,,-8570.619999999997
Canada,mlp,kudryavtsev,0.5,SUMMARY,11254.378999999999,,,,4526.070333333337
Canada,mlp,kudryavtsev,1.0,SUMMARY,5303.022,,,,10477.427333333337
Canada,mlp,kudryavtsev,2.0,SUMMARY,2976.761333333334,,,,12803.688000000002
Canada,mlp,kudryavtsev,5.0,SUMMARY,8640.427333333333,,,,7140.022000000003
Canada,mlp,kudryavtsev,10.0,SUMMARY,1668.665,,,,14111.784333333337
Canada,mlp,placebo,0.25,SUMMARY,23621.960000000003,,,,-7841.510666666667
Canada,mlp,placebo,0.5,SUMMARY,10592.649333333335,,,,5187.800000000001
Canada,mlp,placebo,1.0,SUMMARY,14117.218333333332,,,,1663.2310000000034
Canada,mlp,placebo,2.0,SUMMARY,6185.636333333333,,,,9594.813000000002
