part,cv,model,seed,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,region,delta_rmse,ci_lo,ci_hi,metric,p1_stefan,p2_edaphic,p3_ttop,p4_kudryavtsev,p5_lambda,value,spearman,expert,var,var_label,unit,bin,bin_lo,bin_hi,w_p1_stefan,w_p2_edaphic,w_p3_ttop,w_p4_kudryavtsev,w_p5_lambda,dom_p1_stefan,dom_p2_edaphic,dom_p3_ttop,dom_p4_kudryavtsev,dom_p5_lambda
E_envbins,LORO,,,3603.0,,,,,,,,,,,,,,,,,,,,,,e5_maat,연평균기온 MAAT,°C,1.0,-8.51736068725586,-7.737660884857178,0.7205993388322779,0.02340075815914866,0.0,0.02816082533833003,0.22783907767024805,0.8645573133499861,0.0,0.0,0.0,0.13544268665001388
E_envbins,LORO,,,608.0,,,,,,,,,,,,,,,,,,,,,,e5_maat,연평균기온 MAAT,°C,2.0,-7.737660884857178,-7.726895809173584,0.022774974339596965,0.16277475894238597,0.0,0.056736431818855154,0.7577138348991609,0.006578947368421052,0.0,0.0,0.0,0.993421052631579
E_envbins,LORO,,,6385.0,,,,,,,,,,,,,,,,,,,,,,e5_maat,연평균기온 MAAT,°C,3.0,-7.726895809173584,-0.3196907043457031,0.22900232976046345,0.07365546270694992,0.0,0.08065945119481495,0.6166827563377743,0.27141738449490993,0.0,0.0,0.028034455755677368,0.7005481597494126
E_envbins,LORO,,,3504.0,,,,,,,,,,,,,,,,,,,,,,e5_maat,연평균기온 MAAT,°C,4.0,-0.3196907043457031,1.1028060913085938,0.03348472268567893,0.2175477257535095,0.0,0.19105449197570978,0.5579130595851,0.0037100456621004564,0.0,0.0,0.2676940639269406,0.728595890410959
E_envbins,LORO,,,6853.0,,,,,,,,,,,,,,,,,,,,,,e5_tdd,융해도일 TDD,°C·day,0.0,449.57373046875,813.054443359375,0.17683297059029965,0.08887848978698595,0.0,0.03318423164805993,0.7011043079746541,0.22792937399678972,0.0,0.0,0.0,0.7720706260032103
E_envbins,LORO,,,3162.0,,,,,,,,,,,,,,,,,,,,,,e5_tdd,융해도일 TDD,°C·day,1.0,813.054443359375,944.2830505371094,0.973225842820192,0.0034992352329862933,0.0,0.01659702829519778,0.006677893651623631,1.0,0.0,0.0,0.0,0.0
E_envbins,LORO,,,3764.0,,,,,,,,,,,,,,,,,,,,,,e5_tdd,융해도일 TDD,°C·day,2.0,944.2830505371094,1781.4349060058594,0.644002683782464,0.039945185420843896,0.0,0.09988683834903972,0.2161652924476494,0.7247608926673751,0.0,0.0,0.04596174282678002,0.22927736450584485
E_envbins,LORO,,,3606.0,,,,,,,,,,,,,,,,,,,,,,e5_tdd,융해도일 TDD,°C·day,3.0,1781.4349060058594,2186.3545837402344,0.14805933318786754,0.18238510386065016,0.0,0.1998761280268572,0.46967943492462483,0.13754853022739877,0.0,0.0,0.2617859123682751,0.6006655574043261
E_envbins,LORO,,,2437.0,,,,,,,,,,,,,,,,,,,,,,e5_swe,적설수당량 SWE,m,0.0,0.0213504638522863,0.0330299399793148,0.20322334002314937,0.17779031829648495,0.0,0.10372158970876971,0.5152647519715982,0.18834632745178498,0.0,0.0,0.13582273286828067,0.6758309396799344
E_envbins,LORO,,,3096.0,,,,,,,,,,,,,,,,,,,,,,e5_swe,적설수당량 SWE,m,1.0,0.0330299399793148,0.0452940464019775,0.17017019330167754,0.16948251438853823,0.0,0.1982738873691399,0.4620734049406426,0.20930232558139536,0.0,0.0,0.1973514211886305,0.5933462532299741
E_envbins,LORO,,,4504.0,,,,,,,,,,,,,,,,,,,,,,e5_swe,적설수당량 SWE,m,2.0,0.0452940464019775,0.0500615835189819,0.11436976356798566,0.09564859142095908,0.0,0.02948681645581665,0.7604948285552418,0.11190053285968028,0.0,0.0,0.0004440497335701599,0.8876554174067496
E_envbins,LORO,,,3692.0,,,,,,,,,,,,,,,,,,,,,,e5_swe,적설수당량 SWE,m,3.0,0.0500615835189819,0.0640111938118934,0.8829535024096697,0.005085431504764283,0.0,0.04251749184420321,0.06944357424136377,0.9073672806067172,0.0,0.0,0.021668472372697724,0.07096424702058506
E_envbins,LORO,,,3656.0,,,,,,,,,,,,,,,,,,,,,,e5_swe,적설수당량 SWE,m,4.0,0.0640111938118934,0.1860603243112564,0.6701358248304998,0.005638319379498608,0.0,0.060232508080765086,0.263993347709234,0.8170131291028446,0.0,0.0,0.025437636761487966,0.1575492341356674
E_envbins,LORO,,,3475.0,,,,,,,,,,,,,,,,,,,,,,dem_elev,고도,m,0.0,-1.105667233467102,4.594645977020264,0.0866569303879393,0.11318378131049944,0.0,0.03548296999405829,0.7646763183075026,0.08316546762589928,0.0,0.0,0.0,0.9168345323741007
E_envbins,LORO,,,3476.0,,,,,,,,,,,,,,,,,,,,,,dem_elev,고도,m,1.0,4.594645977020264,16.541353225708008,0.19397620455827835,0.1325511080337052,0.0,0.0962713628761247,0.577201324531891,0.18555811277330264,0.0,0.0,0.08601841196777905,0.7284234752589183
E_envbins,LORO,,,3478.0,,,,,,,,,,,,,,,,,,,,,,dem_elev,고도,m,2.0,16.541353225708008,31.92159843444824,0.39547488016969184,0.144164532397106,0.0,0.07706880086057018,0.38329178657263396,0.42754456584243816,0.0,0.0,0.09171937895342151,0.4807360552041403
