cond,target,anchor,pseudo,r,resid,lam,rmse,bias,n,n_fold,n_seed
noinfo,Canada,stefan_cci,none,0.0,mlp,0.75,27.875,1.9666666666666666,749,1,3
noinfo,Canada,stefan_cci,none,0.0,mlp,1.0,30.135333333333335,0.5559999999999999,749,1,3
noinfo,Canada,stefan_cci,none,0.0,ridge,0.0,25.821,6.199000000000001,749,1,3
noinfo,Canada,stefan_cci,none,0.0,ridge,0.25,26.030999999999995,-1.351,749,1,3
noinfo,Canada,stefan_cci,none,0.0,ridge,0.5,30.865,-8.902,749,1,3
noinfo,Canada,stefan_cci,none,0.0,ridge,0.75,38.623,-16.452,749,1,3
noinfo,Canada,stefan_cci,none,0.0,ridge,1.0,47.905,-24.002,749,1,3
noinfo,Canada,stefan_ku,none,0.0,catboost_lo,0.0,27.015,12.49,749,1,3
noinfo,Canada,stefan_ku,none,0.0,catboost_lo,0.25,26.457666666666665,11.493333333333334,749,1,3
noinfo,Canada,stefan_ku,none,0.0,catboost_lo,0.5,25.974,10.497666666666667,749,1,3
noinfo,Canada,stefan_ku,none,0.0,catboost_lo,0.75,25.567333333333334,9.501333333333333,749,1,3
noinfo,Canada,stefan_ku,none,0.0,catboost_lo,1.0,25.242,8.505333333333333,749,1,3
noinfo,Canada,stefan_ku,none,0.0,mlp,0.0,27.015,12.49,749,1,3
noinfo,Canada,stefan_ku,none,0.0,mlp,0.25,26.638333333333332,10.103666666666667,749,1,3
noinfo,Canada,stefan_ku,none,0.0,mlp,0.5,27.024333333333335,7.718,749,1,3
noinfo,Canada,stefan_ku,none,0.0,mlp,0.75,28.120666666666665,5.331666666666667,749,1,3
noinfo,Canada,stefan_ku,none,0.0,mlp,1.0,29.833,2.9456666666666664,749,1,3
noinfo,Canada,stefan_ku,none,0.0,ridge,0.0,27.015,12.49,749,1,3
noinfo,Canada,stefan_ku,none,0.0,ridge,0.25,26.338000000000005,4.266,749,1,3
noinfo,Canada,stefan_ku,none,0.0,ridge,0.5,31.583,-3.9569999999999994,749,1,3
noinfo,Canada,stefan_ku,none,0.0,ridge,0.75,40.514,-12.181,749,1,3
noinfo,Canada,stefan_ku,none,0.0,ridge,1.0,51.237,-20.404,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,catboost_lo,0.0,26.681,11.732,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,catboost_lo,0.25,25.980666666666668,10.441,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,catboost_lo,0.5,25.432333333333332,9.150333333333334,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,catboost_lo,0.75,25.044333333333338,7.859333333333335,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,catboost_lo,1.0,24.826000000000004,6.568666666666666,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,mlp,0.0,26.681,11.732,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,mlp,0.25,26.358666666666664,9.496666666666668,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,mlp,0.5,27.130666666666666,7.262333333333333,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,mlp,0.75,28.884666666666664,5.027666666666667,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,mlp,1.0,31.432333333333332,2.793333333333333,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,ridge,0.0,26.681,11.732,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,ridge,0.25,25.791,3.392,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,ridge,0.5,30.763,-4.947,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,ridge,0.75,39.439,-13.287,749,1,3
noinfo,Canada,stefan_ku_cci,none,0.0,ridge,1.0,49.923,-21.626,749,1,3
noinfo,Canada,stefan_soil,none,0.0,catboost_lo,0.0,26.375,-1.344,749,1,3
noinfo,Canada,stefan_soil,none,0.0,catboost_lo,0.25,26.362,-1.4143333333333334,749,1,3
noinfo,Canada,stefan_soil,none,0.0,catboost_lo,0.5,26.373666666666665,-1.485,749,1,3
noinfo,Canada,stefan_soil,none,0.0,catboost_lo,0.75,26.409333333333333,-1.555,749,1,3
noinfo,Canada,stefan_soil,none,0.0,catboost_lo,1.0,26.468999999999998,-1.6253333333333335,749,1,3
noinfo,Canada,stefan_soil,none,0.0,mlp,0.0,26.375,-1.344,749,1,3
noinfo,Canada,stefan_soil,none,0.0,mlp,0.25,26.906333333333333,-1.618,749,1,3
noinfo,Canada,stefan_soil,none,0.0,mlp,0.5,27.769666666666666,-1.8916666666666666,749,1,3
noinfo,Canada,stefan_soil,none,0.0,mlp,0.75,28.941333333333333,-2.1656666666666666,749,1,3
noinfo,Canada,stefan_soil,none,0.0,mlp,1.0,30.388666666666666,-2.439666666666667,749,1,3
noinfo,Canada,stefan_soil,none,0.0,ridge,0.0,26.375,-1.344,749,1,3
noinfo,Canada,stefan_soil,none,0.0,ridge,0.25,27.83,-6.486999999999999,749,1,3
noinfo,Canada,stefan_soil,none,0.0,ridge,0.5,32.104,-11.629,749,1,3
noinfo,Canada,stefan_soil,none,0.0,ridge,0.75,38.263,-16.772,749,1,3
noinfo,Canada,stefan_soil,none,0.0,ridge,1.0,45.549,-21.914,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,catboost_lo,0.0,25.31,4.436,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,catboost_lo,0.25,24.982,3.2096666666666667,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,catboost_lo,0.5,24.869333333333334,1.9829999999999999,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,catboost_lo,0.75,24.975333333333335,0.757,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,catboost_lo,1.0,25.296666666666667,-0.4693333333333334,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,mlp,0.0,25.31,4.436,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,mlp,0.25,25.463000000000005,3.218,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,mlp,0.5,26.788,2.0006666666666666,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,mlp,0.75,29.122,0.7833333333333333,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,mlp,1.0,32.244,-0.4339999999999999,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,ridge,0.0,25.31,4.436,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,ridge,0.25,25.928,-2.422,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,ridge,0.5,30.633,-9.279,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,ridge,0.75,37.935,-16.136,749,1,3
noinfo,Canada,stefan_soil_cci,none,0.0,ridge,1.0,46.62800000000001,-22.993,749,1,3
noinfo,Greenland,cci_cal,none,0.0,catboost_lo,0.0,23.522000000000002,-22.221,3,1,3
noinfo,Greenland,cci_cal,none,0.0,catboost_lo,0.25,24.520666666666667,-23.200333333333333,3,1,3
noinfo,Greenland,cci_cal,none,0.0,catboost_lo,0.5,25.53033333333333,-24.179666666666666,3,1,3
noinfo,Greenland,cci_cal,none,0.0,catboost_lo,0.75,26.548666666666666,-25.159333333333336,3,1,3
noinfo,Greenland,cci_cal,none,0.0,catboost_lo,1.0,27.575333333333333,-26.139333333333337,3,1,3
noinfo,Greenland,cci_cal,none,0.0,mlp,0.0,23.522000000000002,-22.221,3,1,3
noinfo,Greenland,cci_cal,none,0.0,mlp,0.25,262.8866666666667,-218.7893333333333,3,1,3
noinfo,Greenland,cci_cal,none,0.0,mlp,0.5,503.48600000000005,-415.3576666666666,3,1,3
noinfo,Greenland,cci_cal,none,0.0,mlp,0.75,744.1236666666667,-611.9263333333333,3,1,3
noinfo,Greenland,cci_cal,none,0.0,mlp,1.0,984.7716666666666,-808.4946666666666,3,1,3
noinfo,Greenland,cci_cal,none,0.0,ridge,0.0,23.522000000000002,-22.221,3,1,3
noinfo,Greenland,cci_cal,none,0.0,ridge,0.25,671.506,-552.046,3,1,3
noinfo,Greenland,cci_cal,none,0.0,ridge,0.5,1320.846,-1081.871,3,1,3
noinfo,Greenland,cci_cal,none,0.0,ridge,0.75,1970.202,-1611.696,3,1,3
noinfo,Greenland,cci_cal,none,0.0,ridge,1.0,2619.561,-2141.52,3,1,3
noinfo,Greenland,ku_cal,none,0.0,catboost_lo,0.0,35.433,-31.761,3,1,3
noinfo,Greenland,ku_cal,none,0.0,catboost_lo,0.25,36.330999999999996,-32.845333333333336,3,1,3
noinfo,Greenland,ku_cal,none,0.0,catboost_lo,0.5,37.24466666666667,-33.928999999999995,3,1,3
noinfo,Greenland,ku_cal,none,0.0,catboost_lo,0.75,38.172,-35.01266666666667,3,1,3
noinfo,Greenland,ku_cal,none,0.0,catboost_lo,1.0,39.11233333333333,-36.096333333333334,3,1,3
noinfo,Greenland,ku_cal,none,0.0,mlp,0.0,35.433,-31.761,3,1,3
noinfo,Greenland,ku_cal,none,0.0,mlp,0.25,323.7266666666667,-267.372,3,1,3
noinfo,Greenland,ku_cal,none,0.0,mlp,0.5,612.5603333333333,-502.983,3,1,3
noinfo,Greenland,ku_cal,none,0.0,mlp,0.75,901.4183333333334,-738.5933333333332,3,1,3
noinfo,Greenland,ku_cal,none,0.0,mlp,1.0,1190.2833333333333,-974.2043333333332,3,1,3
noinfo,Greenland,ku_cal,none,0.0,ridge,0.0,35.433,-31.761,3,1,3
noinfo,Greenland,ku_cal,none,0.0,ridge,0.25,985.136,-808.8250000000002,3,1,3
noinfo,Greenland,ku_cal,none,0.0,ridge,0.5,1935.463,-1585.889,3,1,3
noinfo,Greenland,ku_cal,none,0.0,ridge,0.75,2885.797,-2362.952,3,1,3
noinfo,Greenland,ku_cal,none,0.0,ridge,1.0,3836.133,-3140.016,3,1,3
noinfo,Greenland,none,none,0.0,catboost_lo,1.0,23.112666666666666,-22.55333333333333,3,1,3
noinfo,Greenland,none,none,0.0,mlp,1.0,142.48866666666666,-119.12066666666668,3,1,3
