loc_id,region,label_class,n_pts,frac_gpr,frac_probe,frac_late,month_mean
358,ABoVE_AK,ABoVE 탐침 우세,30.0,0.0,0.5,1.0,8.0
359,ABoVE_AK,ABoVE 탐침 우세,20.0,0.0,0.5,0.5,6.5
360,ABoVE_AK,ABoVE 기타/결측,36.0,0.0,0.4166666666666667,0.9166666666666666,7.75
361,ABoVE_AK,ABoVE 기타/결측,22.0,0.0,0.4090909090909091,0.5,6.5
362,ABoVE_AK,ABoVE 기타/결측,54.0,0.0,0.46296296296296297,0.7777777777777778,7.333333333333333
363,ABoVE_AK,ABoVE 탐침 우세,36.0,0.0,0.5,0.9166666666666666,7.75
364,ABoVE_AK,ABoVE 탐침 우세,42.0,0.0,0.5,0.8571428571428571,7.571428571428571
365,ABoVE_AK,ABoVE 탐침 우세,50.0,0.0,0.5,0.8,7.4
366,ABoVE_AK,ABoVE 기타/결측,51.0,0.0,0.29411764705882354,0.9607843137254902,7.882352941176471
367,ABoVE_AK,ABoVE 기타/결측,66.0,0.0,0.36363636363636365,0.8484848484848485,7.545454545454546
368,ABoVE_AK,ABoVE 기타/결측,5.0,0.0,0.2,0.6,6.8
369,ABoVE_AK,ABoVE 탐침 우세,20.0,0.0,0.5,0.5,6.5
370,ABoVE_AK,ABoVE 기타/결측,43.0,0.0,0.32558139534883723,1.0,8.0
371,ABoVE_AK,ABoVE 기타/결측,29.0,0.0,0.3448275862068966,0.5517241379310345,6.655172413793103
372,ABoVE_AK,ABoVE 기타/결측,53.0,0.0,0.4716981132075472,0.7924528301886793,7.377358490566038
373,ABoVE_AK,ABoVE 탐침 우세,30.0,0.0,0.5,1.0,8.0
374,ABoVE_AK,ABoVE 기타/결측,58.0,0.0,0.1724137931034483,0.7931034482758621,7.379310344827586
375,ABoVE_AK,ABoVE 기타/결측,68.0,0.0,0.36764705882352944,0.8382352941176471,7.514705882352941
376,ABoVE_AK,ABoVE 기타/결측,84.0,0.0,0.2976190476190476,0.8690476190476191,7.607142857142857
377,ABoVE_AK,ABoVE 기타/결측,59.0,0.0,0.423728813559322,0.8135593220338984,7.440677966101695
378,ABoVE_AK,ABoVE 기타/결측,71.0,0.0,0.3380281690140845,0.8309859154929577,7.492957746478873
379,ABoVE_AK,ABoVE 기타/결측,21.0,0.0,0.047619047619047616,0.9523809523809523,7.857142857142857
