site_name,year,lat,lon,alt_cm,n_pts
E56,2022,68.3197983700001,-133.51855893,48.75,1
E57,2022,68.3204684500001,-133.51744816,39.25,1
E58,2022,68.32049677,-133.51724583,33.25,1
E59,2022,68.32038398,-133.51661921,36.5,1
E6,2022,68.7415300960001,-133.496799362,25.75,1
E60,2022,68.3202691100001,-133.5170576,91.5,1
E61,2022,68.320891203,-133.515245687,36.25,1
E62,2022,68.32068859,-133.51528884,36.0,1
E63,2022,68.3207673800001,-133.51574334,39.5,1
E64,2022,68.3209011440001,-133.515634162,64.0,1
E65,2022,68.3211004,-133.51603925,67.5,1
E66,2022,68.3212024100001,-133.51657173,39.5,1
E67,2022,68.3213178,-133.51636756,76.25,1
E68,2022,68.3212586000001,-133.51579544,61.75,1
E69,2022,68.32069217,-133.51957118,35.25,1
E70,2022,68.32082545,-133.519385,35.75,1
E71,2022,68.32074315,-133.51866529,39.75,1
E72,2022,68.3205846800001,-133.51887635,35.0,1
E73,2022,68.31711876,-133.52435869,83.75,1
E74,2022,68.31705357,-133.52377744,89.5,1
E75,2022,68.31704233,-133.52332907,53.0,1
E76,2022,68.31705952,-133.52309371,43.75,1
E77,2022,68.3170559700001,-133.52283343,54.75,1
E78,2022,68.3170534500001,-133.52257152,45.5,1
E79,2022,68.3170699500001,-133.52211538,54.25,1
E80,2022,68.3170583900001,-133.52199025,48.75,1
E81,2022,68.3170786200001,-133.5217079,38.5,1
E82,2022,68.31714917,-133.52153366,55.5,1
E83,2022,68.3172689200001,-133.5215476,33.75,1
E84,2022,68.3174323700001,-133.52151644,35.0,1
E85,2022,68.3174694800001,-133.52125659,32.25,1
E86,2022,68.31765047,-133.52128531,51.5,1
E87,2022,68.3177535400001,-133.52127023,52.75,1
E88,2022,68.3178714200001,-133.52104824,54.75,1
E89,2022,68.31810017,-133.52090664,59.5,1
E90,2022,68.3181863,-133.52078465,58.75,1
E91,2022,68.31830732,-133.5208012,41.5,1
E92,2022,68.31847243,-133.52053874,52.5,1
E93,2022,68.31858735,-133.52054596,51.0,1
