proto,family,anchor,pseudo,resid,r,lam,rmse_mean,n_reg,name
half,anchored,stefan,stefan,catboost,2.0,0.25,23.698166666666665,2,Stefan 앵커 + 부스팅 잔차(λ=0.25) · Stefan 증강(r=2)
half,anchored,stefan,stefan,catboost,2.0,0.5,23.679833333333335,2,Stefan 앵커 + 부스팅 잔차(λ=0.5) · Stefan 증강(r=2)
half,anchored,stefan,stefan,catboost,2.0,0.75,23.667833333333334,2,Stefan 앵커 + 부스팅 잔차(λ=0.75) · Stefan 증강(r=2)
half,anchored,stefan,stefan,catboost,2.0,1.0,23.662166666666668,2,Stefan 앵커 + 부스팅 잔차(λ=1) · Stefan 증강(r=2)
half,anchored,stefan,stefan,catboost,5.0,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0) · Stefan 증강(r=5)
half,anchored,stefan,stefan,catboost,5.0,0.25,23.714333333333336,2,Stefan 앵커 + 부스팅 잔차(λ=0.25) · Stefan 증강(r=5)
half,anchored,stefan,stefan,catboost,5.0,0.5,23.712333333333333,2,Stefan 앵커 + 부스팅 잔차(λ=0.5) · Stefan 증강(r=5)
half,anchored,stefan,stefan,catboost,5.0,0.75,23.717,2,Stefan 앵커 + 부스팅 잔차(λ=0.75) · Stefan 증강(r=5)
half,anchored,stefan,stefan,catboost,5.0,1.0,23.728,2,Stefan 앵커 + 부스팅 잔차(λ=1) · Stefan 증강(r=5)
half,anchored,stefan,stefan,catboost,10.0,0.0,23.723,2,Stefan 앵커 + 부스팅 잔차(λ=0) · Stefan 증강(r=10)
half,anchored,stefan,stefan,catboost,10.0,0.25,23.664,2,Stefan 앵커 + 부스팅 잔차(λ=0.25) · Stefan 증강(r=10)
half,anchored,stefan,stefan,catboost,10.0,0.5,23.613500000000002,2,Stefan 앵커 + 부스팅 잔차(λ=0.5) · Stefan 증강(r=10)
half,anchored,stefan,stefan,catboost,10.0,0.75,23.57183333333333,2,Stefan 앵커 + 부스팅 잔차(λ=0.75) · Stefan 증강(r=10)
half,anchored,stefan,stefan,catboost,10.0,1.0,23.5385,2,Stefan 앵커 + 부스팅 잔차(λ=1) · Stefan 증강(r=10)
half,anchored,stefan,stefan,mlp,0.5,0.0,23.723,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,mlp,0.5,0.25,60.9885,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,mlp,0.5,0.5,105.76783333333334,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,mlp,0.5,0.75,151.17416666666665,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.75) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,mlp,0.5,1.0,196.75683333333333,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=1) · Stefan 증강(r=0.5)
half,anchored,stefan,stefan,mlp,2.0,0.0,23.723,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0) · Stefan 증강(r=2)
half,anchored,stefan,stefan,mlp,2.0,0.25,35.7455,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.25) · Stefan 증강(r=2)
half,anchored,stefan,stefan,mlp,2.0,0.5,61.87483333333333,2,Stefan 앵커 + 다층퍼셉트론 잔차(λ=0.5) · Stefan 증강(r=2)
