axis,region,formula,family,k,desc,n,rmse_cm,mae_cm,bias_cm,r2,skill,rmse_stefan_paired,delta_vs_stefan,ci_lo,ci_hi
LORO,Russia_E,F1k2,F1 Stefan,2,a+E·√TDD,30,27.641,15.597,-8.57,0.0362,0.0182,27.383,0.2579999999999991,-0.0016455662028771764,0.36928180542005135
LORO,Russia_E,F2k2,F2 멱법칙,2,a·TDD^b,30,27.553,15.571,-8.402,0.0422,0.0213,27.383,0.1700000000000017,0.012959083764731805,0.3225231590478547
LORO,Russia_E,F3k2,F3 TDD 선형,2,a+b·TDD,30,27.995,15.696,-9.641,0.0113,0.0057,27.383,0.6120000000000019,-0.2929647844091309,0.9728225297219938
LORO,Russia_E,F4k2,F4 MAAT 선형,2,a+b·MAAT,30,32.6,18.23,-16.444,-0.3407,-0.1579,27.383,5.217000000000002,-0.01815380868089148,7.581791929621622
LORO,Russia_E,F5k0,F5 edaphic,0,pedotransfer raw,30,65.577,62.387,61.747,-4.4251,-1.3292,27.383,38.194,16.031690429173107,63.698259657857975
LORO,Russia_E,F5k1,F5 edaphic,1,c·edaphic,30,24.568,19.05,4.748,0.2386,0.1274,27.383,-2.8149999999999977,-8.793474835052441,10.004924547671909
LORO,Russia_E,F5k2,F5 edaphic,2,a+c·edaphic,30,25.734,18.004,-0.509,0.1645,0.086,27.383,-1.6489999999999974,-4.414491805515243,6.068791282849693
LORO,Russia_E,F6k0,F6 Kudryavtsev,0,raw,30,42.822,40.387,36.586,-1.3134,-0.521,27.383,15.439000000000004,-2.5135786238904436,37.74446742501606
LORO,Russia_E,F6k1,F6 Kudryavtsev,1,c·Ku,30,24.387,19.756,6.161,0.2497,0.1338,27.383,-2.9959999999999987,-9.514730986414481,10.55787479945235
LORO,Russia_E,F6k2,F6 Kudryavtsev,2,a+c·Ku,30,25.974,17.476,-2.25,0.1489,0.0775,27.383,-1.408999999999999,-3.477946461837053,4.730842337054719
LORO,Russia_E,F7k1,F7 지표강제 Stefan,1,E·√TDD_stl1,30,28.709,16.076,-9.106,-0.0398,-0.0197,27.383,1.3260000000000005,-0.054814278211729274,2.1861309550554973
LORO,Russia_E,F7k2,F7 지표강제 Stefan,2,a+E·√TDD_stl1,30,28.671,16.071,-9.215,-0.0371,-0.0184,27.383,1.2880000000000003,-0.08570571304221555,2.2009900054282485
LORO,Russia_E,F8k2,F8 2층 Stefan,2,유기층(h·f_om) + E_m√(TDD−TDD_o),30,27.997,15.772,-10.301,0.0111,0.0056,27.383,0.6140000000000008,-0.6530746683468985,0.995506830386064
LORO,Russia_E,F9k2,F9 Stefan+FDD,2,E·√TDD+γ·√FDD,30,27.271,15.605,-8.169,0.0617,0.0314,27.383,-0.11199999999999832,-0.2349393935398137,0.2999687374452061
LORO,Russia_E,F10k2,F10 Stefan×눈,2,E·√TDD·(1+γ·SWE),30,27.622,15.912,-9.673,0.0374,0.0189,27.383,0.23900000000000077,0.01995195249397979,0.8482635282524323
LORO,Russia_C,F1k1,F1 Stefan,1,E·√TDD,7,53.846,31.657,-20.848,0.1208,0.0623,53.846,0.0,0.0,0.0
LORO,Russia_C,F1k2,F1 Stefan,2,a+E·√TDD,7,55.453,32.531,-21.971,0.0675,0.0343,53.846,1.6070000000000064,-1.5760251200868587,2.881659710355018
LORO,Russia_C,F2k2,F2 멱법칙,2,a·TDD^b,7,55.46,32.576,-21.914,0.0673,0.0342,53.846,1.6140000000000043,-1.3879762291694835,2.861254130696276
LORO,Russia_C,F3k2,F3 TDD 선형,2,a+b·TDD,7,54.228,31.68,-21.447,0.1083,0.0557,53.846,0.382000000000005,-1.0505968748503687,0.8370629409435181
LORO,Russia_C,F4k2,F4 MAAT 선형,2,a+b·MAAT,7,65.16,35.769,-34.351,-0.2875,-0.1347,53.846,11.314,-6.920537314987959,19.905513709127547
LORO,Russia_C,F5k0,F5 edaphic,0,pedotransfer raw,7,71.018,60.933,56.935,-0.5294,-0.2367,53.846,17.172000000000004,-57.9548333788079,76.2699659942252
LORO,Russia_C,F5k1,F5 edaphic,1,c·edaphic,7,45.193,31.806,-6.882,0.3807,0.213,53.846,-8.652999999999999,-21.072537726372033,15.62227292842972
LORO,Russia_C,F5k2,F5 edaphic,2,a+c·edaphic,7,51.773,33.64,-15.604,0.1872,0.0984,53.846,-2.0729999999999933,-4.728623642255123,4.93251417561782
LORO,Russia_C,F6k0,F6 Kudryavtsev,0,raw,7,50.747,39.836,25.581,0.2191,0.1163,53.846,-3.0989999999999966,-55.83488351242559,50.146844361849396
LORO,Russia_C,F6k1,F6 Kudryavtsev,1,c·Ku,7,44.795,32.545,-7.499,0.3915,0.2199,53.846,-9.050999999999995,-22.54812273602375,19.245898112160422
LORO,Russia_C,F6k2,F6 Kudryavtsev,2,a+c·Ku,7,53.284,33.002,-19.047,0.139,0.0721,53.846,-0.5619999999999976,-1.6166596321863693,2.6131867426697433
