axis,region,method,seed,E_train,n,rmse_cm,mae_cm,bias_cm,r2,target_sd_cm,skill_over_mean,coverage_90,width_90,delta_rmse,ci_lo,ci_hi,source,b_learned_cm,sig_learned_te_cm,b_emp_train_cm,sig_emp_train_cm,b_emp_test_cm,sig_emp_test_cm,axis_kind
AK_fold,fold2,pool_mlp,0,1.627,1778.0,17.31,13.873,2.762,-0.0391,16.982,-0.0194,,,,,,,,,,,,,
AK_fold,fold2,fixaug_catboost,0,1.627,1778.0,17.085,13.674,2.526,-0.0122,16.982,-0.0061,0.0529,2.186,,,,,,,,,,,
AK_fold,fold2,sa_z,0,1.627,1778.0,17.109,13.722,2.624,-0.0151,16.982,-0.0075,0.9994,510.062,,,,,,,,,,,
AK_fold,fold2,sa_fusion,0,1.627,1778.0,17.081,13.762,2.908,-0.0117,16.982,-0.0059,0.1035,7.68,,,,,,,,,,,
AK_fold,fold2,direct_catboost,1,1.627,1778.0,16.997,13.55,3.251,-0.0018,16.982,-0.0009,0.4775,23.386,,,,,,,,,,,
AK_fold,fold2,direct_mlp,1,1.627,1778.0,18.057,14.365,2.856,-0.1306,16.982,-0.0633,,,,,,,,,,,,,
AK_fold,fold2,physfeat_catboost,1,1.627,1778.0,16.466,13.194,2.997,0.0598,16.982,0.0304,0.5664,26.385,,,,,,,,,,,
AK_fold,fold2,pool_catboost,1,1.627,1778.0,17.6,14.198,3.216,-0.0742,16.982,-0.0364,0.0996,5.262,,,,,,,,,,,
AK_fold,fold2,pool_mlp,1,1.627,1778.0,17.505,14.2,3.287,-0.0627,16.982,-0.0309,,,,,,,,,,,,,
AK_fold,fold2,fixaug_catboost,1,1.627,1778.0,17.09,13.679,2.526,-0.0128,16.982,-0.0064,0.0501,2.276,,,,,,,,,,,
AK_fold,fold2,sa_z,1,1.627,1778.0,17.024,13.516,2.003,-0.0051,16.982,-0.0025,0.9994,714.516,,,,,,,,,,,
AK_fold,fold2,sa_fusion,1,1.627,1778.0,17.11,13.78,2.92,-0.0152,16.982,-0.0076,0.1007,5.625,,,,,,,,,,,
AK_fold,fold2,direct_catboost,2,1.627,1778.0,16.576,13.112,2.441,0.0472,16.982,0.0239,0.5456,25.13,,,,,,,,,,,
AK_fold,fold2,direct_mlp,2,1.627,1778.0,18.688,15.181,4.726,-0.2111,16.982,-0.1005,,,,,,,,,,,,,
AK_fold,fold2,physfeat_catboost,2,1.627,1778.0,16.584,13.133,2.348,0.0463,16.982,0.0234,0.5844,27.279,,,,,,,,,,,
AK_fold,fold2,pool_catboost,2,1.627,1778.0,17.592,14.194,3.209,-0.0732,16.982,-0.036,0.1029,5.654,,,,,,,,,,,
AK_fold,fold2,pool_mlp,2,1.627,1778.0,17.497,14.227,3.409,-0.0616,16.982,-0.0304,,,,,,,,,,,,,
AK_fold,fold2,fixaug_catboost,2,1.627,1778.0,17.089,13.678,2.526,-0.0127,16.982,-0.0063,0.0551,2.261,,,,,,,,,,,
