scheme,seed,fold,model,n_test,E_train,nnd_median_km,rmse_cm,mae_cm,bias_cm,r2
block_0.5,2,3,stefan,1607,1.6415,62.39,21.734,16.777,6.231,0.1408
block_0.5,2,3,ridge,1607,1.6415,62.39,20.982,14.158,-6.158,0.1993
block_0.5,2,3,catboost_lo,1607,1.6415,62.39,21.77,14.916,-4.256,0.138
block_0.5,2,3,stefan_ridge_l075,1607,1.6415,62.39,20.262,13.751,-3.065,0.2533
block_0.5,2,4,stefan,1641,1.5977,6.366,15.623,9.907,-5.648,-0.0702
block_0.5,2,4,ridge,1641,1.5977,6.366,13.795,9.992,-0.13,0.1656
block_0.5,2,4,catboost_lo,1641,1.5977,6.366,14.615,9.346,-2.89,0.0635
block_0.5,2,4,stefan_ridge_l075,1641,1.5977,6.366,13.767,9.379,-1.532,0.1689
block_0.5,2,5,stefan,1760,1.6241,10.08,16.939,13.699,1.771,-0.0444
block_0.5,2,5,ridge,1760,1.6241,10.08,17.053,14.393,6.471,-0.0584
block_0.5,2,5,catboost_lo,1760,1.6241,10.08,16.781,13.757,3.851,-0.025
block_0.5,2,5,stefan_ridge_l075,1760,1.6241,10.08,16.919,14.18,5.482,-0.0419
block_0.5_canonical,0,0,stefan,4716,1.5734,72.128,11.048,8.924,-5.929,-0.3898
block_0.5_canonical,0,0,ridge,4716,1.5734,72.128,10.384,8.348,4.504,-0.2278
block_0.5_canonical,0,0,catboost_lo,4716,1.5734,72.128,17.742,15.203,14.767,-2.5841
block_0.5_canonical,0,0,stefan_ridge_l075,4716,1.5734,72.128,9.41,7.735,1.187,-0.0083
block_0.5_canonical,0,1,stefan,1778,1.6249,25.617,12.393,9.127,1.525,0.0376
block_0.5_canonical,0,1,ridge,1778,1.6249,25.617,12.091,9.366,2.021,0.0839
block_0.5_canonical,0,1,catboost_lo,1778,1.6249,25.617,12.104,8.976,-2.375,0.082
block_0.5_canonical,0,1,stefan_ridge_l075,1778,1.6249,25.617,12.071,9.244,1.942,0.0869
block_0.5_canonical,0,2,stefan,1778,1.627,27.053,17.095,13.678,2.53,-0.0134
block_0.5_canonical,0,2,ridge,1778,1.627,27.053,17.086,14.248,5.206,-0.0124
block_0.5_canonical,0,2,catboost_lo,1778,1.627,27.053,16.251,12.625,0.894,0.0842
block_0.5_canonical,0,2,stefan_ridge_l075,1778,1.627,27.053,17.01,14.058,4.72,-0.0034
block_0.5_canonical,0,3,stefan,1778,1.6516,19.479,13.326,10.266,6.794,0.0263
block_0.5_canonical,0,3,ridge,1778,1.6516,19.479,10.318,7.712,-0.686,0.4162
block_0.5_canonical,0,3,catboost_lo,1778,1.6516,19.479,10.71,7.958,0.232,0.3711
block_0.5_canonical,0,3,stefan_ridge_l075,1778,1.6516,19.479,10.501,7.829,1.198,0.3954
block_0.5_canonical,0,4,stefan,1778,1.6063,26.634,11.962,9.093,-3.169,-0.1912
block_0.5_canonical,0,4,ridge,1778,1.6063,26.634,11.687,8.992,-1.888,-0.1371
block_0.5_canonical,0,4,catboost_lo,1778,1.6063,26.634,11.982,8.994,-3.342,-0.1952
block_0.5_canonical,0,4,stefan_ridge_l075,1778,1.6063,26.634,11.517,8.885,-2.588,-0.1043
block_0.5_canonical,0,5,stefan,1778,1.6208,27.384,22.563,16.283,0.444,0.0613
block_0.5_canonical,0,5,ridge,1778,1.6208,27.384,21.269,14.103,-4.772,0.1659
block_0.5_canonical,0,5,catboost_lo,1778,1.6208,27.384,22.552,15.13,-6.63,0.0622
block_0.5_canonical,0,5,stefan_ridge_l075,1778,1.6208,27.384,21.14,14.093,-3.571,0.1759
block_0.5_canonical,1,0,stefan,4716,1.5734,72.128,11.048,8.924,-5.929,-0.3898
block_0.5_canonical,1,0,ridge,4716,1.5734,72.128,10.384,8.348,4.504,-0.2278
block_0.5_canonical,1,0,catboost_lo,4716,1.5734,72.128,15.567,12.542,11.512,-1.7591
block_0.5_canonical,1,0,stefan_ridge_l075,4716,1.5734,72.128,9.41,7.735,1.187,-0.0083
block_0.5_canonical,1,1,stefan,1778,1.6249,25.617,12.393,9.127,1.525,0.0376
block_0.5_canonical,1,1,ridge,1778,1.6249,25.617,12.091,9.366,2.021,0.0839
block_0.5_canonical,1,1,catboost_lo,1778,1.6249,25.617,12.248,9.209,-2.89,0.0599
block_0.5_canonical,1,1,stefan_ridge_l075,1778,1.6249,25.617,12.071,9.244,1.942,0.0869
block_0.5_canonical,1,2,stefan,1778,1.627,27.053,17.095,13.678,2.53,-0.0134
block_0.5_canonical,1,2,ridge,1778,1.627,27.053,17.086,14.248,5.206,-0.0124
block_0.5_canonical,1,2,catboost_lo,1778,1.627,27.053,16.461,12.916,1.404,0.0603
block_0.5_canonical,1,2,stefan_ridge_l075,1778,1.627,27.053,17.01,14.058,4.72,-0.0034
block_0.5_canonical,1,3,stefan,1778,1.6516,19.479,13.326,10.266,6.794,0.0263
block_0.5_canonical,1,3,ridge,1778,1.6516,19.479,10.318,7.712,-0.686,0.4162
block_0.5_canonical,1,3,catboost_lo,1778,1.6516,19.479,10.91,8.117,-0.48,0.3474
block_0.5_canonical,1,3,stefan_ridge_l075,1778,1.6516,19.479,10.501,7.829,1.198,0.3954
block_0.5_canonical,1,4,stefan,1778,1.6063,26.634,11.962,9.093,-3.169,-0.1912
block_0.5_canonical,1,4,ridge,1778,1.6063,26.634,11.687,8.992,-1.888,-0.1371
block_0.5_canonical,1,4,catboost_lo,1778,1.6063,26.634,11.806,8.969,-3.125,-0.1604
