method,feature,group,fold,delta_rmse_cm,rmse_base_fold,n_eval
stefan_cb1,e5_maat,기후,2,-0.03835878239196759,16.92621445250584,1778
stefan_cb1,e5_maat,기후,3,0.023713429532159935,11.237342541635392,1778
stefan_cb1,e5_maat,기후,4,0.003053018643683103,12.46598920580537,1778
stefan_cb1,e5_maat,기후,5,0.015485328880238569,22.352233556706423,1778
stefan_cb1,e5_tdd,기후,0,0.0,11.28989012632896,4716
stefan_cb1,e5_tdd,기후,1,0.00021443814165778008,12.551555248439486,1778
stefan_cb1,e5_tdd,기후,2,-0.00634826368357686,16.92621445250584,1778
stefan_cb1,e5_tdd,기후,3,-0.0012081816492395703,11.237342541635392,1778
stefan_cb1,e5_tdd,기후,4,-0.0016713500950249482,12.46598920580537,1778
stefan_cb1,e5_tdd,기후,5,-0.031393167966697534,22.352233556706423,1778
stefan_cb1,e5_fdd,기후,0,0.0,11.28989012632896,4716
stefan_cb1,e5_fdd,기후,1,0.10157739945492601,12.551555248439486,1778
stefan_cb1,e5_fdd,기후,2,-0.019920312808727303,16.92621445250584,1778
stefan_cb1,e5_fdd,기후,3,0.07848681741997084,11.237342541635392,1778
stefan_cb1,e5_fdd,기후,4,-0.00023665422462624264,12.46598920580537,1778
stefan_cb1,e5_fdd,기후,5,-0.0054857071466734905,22.352233556706423,1778
stefan_cb1,e5_sqrt_tdd,기후,0,0.010643537291301186,11.28989012632896,4716
stefan_cb1,e5_sqrt_tdd,기후,1,0.5159038907426098,12.551555248439486,1778
stefan_cb1,e5_sqrt_tdd,기후,2,0.3080948347127599,16.92621445250584,1778
stefan_cb1,e5_sqrt_tdd,기후,3,1.7952700905577956,11.237342541635392,1778
stefan_cb1,e5_sqrt_tdd,기후,4,0.40546309370346345,12.46598920580537,1778
stefan_cb1,e5_sqrt_tdd,기후,5,3.209641301135464,22.352233556706423,1778
stefan_cb1,e5_twarm,기후,0,0.0,11.28989012632896,4716
stefan_cb1,e5_twarm,기후,1,0.006726058963031178,12.551555248439486,1778
stefan_cb1,e5_twarm,기후,2,-0.005619256306259146,16.92621445250584,1778
stefan_cb1,e5_twarm,기후,3,-0.0017261592983768281,11.237342541635392,1778
stefan_cb1,e5_twarm,기후,4,0.12380590711401318,12.46598920580537,1778
stefan_cb1,e5_twarm,기후,5,0.06726344754137656,22.352233556706423,1778
stefan_cb1,e5_tcold,기후,0,0.0,11.28989012632896,4716
stefan_cb1,e5_tcold,기후,1,0.07869883991143282,12.551555248439486,1778
