target,model,mode,stratum,n,n_blocks,frac,rmse_model,rmse_stefan,delta_rmse,ci_lo,ci_hi,bias_model,bias_stefan,flag
Russia_W,catboost_lo,stefan+lam0.25,swe_in_range,23,13,0.821,42.085,42.254,-0.169,-0.76,0.328,-32.084,-32.026,
Russia_W,catboost_lo,stefan+lam0.25,swe_out_of_range,5,5,0.179,45.149,43.37,1.779,1.064,2.84,-35.857,-33.929,참고(n<10)
Russia_W,catboost_lo,stefan+lam0.25,x25_all_in_range,11,6,0.393,40.793,41.011,-0.217,-1.344,0.533,-30.626,-30.78,
Russia_W,catboost_lo,stefan+lam0.25,x25_any_out_of_range,17,13,0.607,43.807,43.365,0.441,-0.128,1.219,-34.138,-33.392,
Russia_W,mlp,direct,all,28,18,1.0,47.707,42.456,5.251,1.765,9.039,-38.921,-32.366,
Russia_W,mlp,direct,complete,28,18,1.0,47.707,42.456,5.251,1.765,9.039,-38.921,-32.366,
Russia_W,mlp,direct,aoa_in,25,16,0.893,43.458,38.702,4.756,1.005,8.416,-35.376,-29.283,
Russia_W,mlp,direct,aoa_out,3,2,0.107,74.187,65.89,8.297,,,-68.462,-58.054,참고(n<10)
Russia_W,mlp,direct,swe_in_range,23,13,0.821,44.806,42.254,2.551,-0.81,5.632,-36.256,-32.026,
Russia_W,mlp,direct,swe_out_of_range,5,5,0.179,59.249,43.37,15.879,11.041,22.477,-51.176,-33.929,참고(n<10)
Russia_W,mlp,direct,x25_all_in_range,11,6,0.393,42.22,41.011,1.209,-6.661,5.386,-34.202,-30.78,
Russia_W,mlp,direct,x25_any_out_of_range,17,13,0.607,50.943,43.365,7.578,3.816,12.372,-41.974,-33.392,
Russia_W,mlp,stefan+lam0.25,all,28,18,1.0,43.851,42.456,1.396,0.561,2.371,-34.33,-32.366,
Russia_W,mlp,stefan+lam0.25,complete,28,18,1.0,43.851,42.456,1.396,0.561,2.371,-34.33,-32.366,
Russia_W,mlp,stefan+lam0.25,aoa_in,25,16,0.893,39.991,38.702,1.289,0.362,2.215,-31.137,-29.283,
