assignment,method,fold,n,n_blocks,has_bigblock,rmse,bias,E_fold
random_1,stefan,0,1692,9,False,11.926111795783523,5.73703631480028,1.6449718825690947
random_1,stefan,1,1837,8,False,15.704813390384757,-5.026661871231035,1.599498500794652
random_1,stefan,2,2217,27,False,12.993454768426766,1.8157362537533546,1.6274545610796212
random_1,stefan,3,5189,9,True,12.75616996687246,-6.041159124482069,1.5650942273529078
random_1,stefan,4,993,17,False,20.477316561190378,5.433724050420578,1.6312673189349411
random_1,stefan,5,1678,4,False,17.874161638611056,3.516164909479073,1.6306786761265712
random_1,stefan_ridge075,0,1692,9,False,9.749047556173474,0.49399745034185627,1.6449718825690947
random_1,stefan_ridge075,1,1837,8,False,13.704836200141251,-1.6342219327293503,1.599498500794652
random_1,stefan_ridge075,2,2217,27,False,12.536452157203186,0.8875387538896824,1.6274545610796212
random_1,stefan_ridge075,3,5189,9,True,12.406815393967948,3.938615574928462,1.5650942273529078
random_1,stefan_ridge075,4,993,17,False,19.57276568092499,0.02836040250621368,1.6312673189349411
random_1,stefan_ridge075,5,1678,4,False,17.50767536069772,6.01322372823746,1.6306786761265712
random_1,ridge,0,1692,9,False,9.810404251147464,-1.2730321241225242,1.6449718825690947
random_1,ridge,1,1837,8,False,13.673165329299133,-0.5086205661799209,1.599498500794652
random_1,ridge,2,2217,27,False,12.729817141599153,0.5255714620519394,1.6274545610796212
random_1,ridge,3,5189,9,True,14.77584187236687,8.027668057803593,1.5650942273529078
random_1,ridge,4,993,17,False,20.060386189844156,-1.6798332712377613,1.6312673189349411
random_1,ridge,5,1678,4,False,17.448658310933777,6.638049713561939,1.6306786761265712
random_1,catboost_lo,0,1692,9,False,10.130693969280204,-1.6051106556354267,1.6449718825690947
random_1,catboost_lo,1,1837,8,False,14.135748948692527,-1.3957895455983247,1.599498500794652
random_1,catboost_lo,2,2217,27,False,13.09601761144914,-3.600905646554841,1.6274545610796212
random_1,catboost_lo,3,5189,9,True,18.285608494162357,12.251391380290453,1.5650942273529078
random_1,catboost_lo,4,993,17,False,19.068662373157135,-1.9973483789080604,1.6312673189349411
random_1,catboost_lo,5,1678,4,False,17.167327473382937,3.5228125301141686,1.6306786761265712
random_2,stefan,0,1466,26,False,22.3943396267581,-1.5682464670482326,1.614810824532665
random_2,stefan,1,4837,3,True,11.155476257102613,-5.321792318040753,1.578498353137662
random_2,stefan,2,1703,1,False,11.267617908780453,0.4267671279504236,1.6189576021822036
