H,label,cond,target,split,delta_rmse,delta_per_seed,delta_ensemble,delta_blockeq,delta_cap100,n_cells,n_blocks,block_majority,n_splits,delta_split_mean,delta_split_sd,family,family_tag
X-pseudo,"covonly: 유사라벨 const − stefan (직접 catboost_lo, r=10)",covonly,Greenland,0,-1.8563423156738281,-1.8563423156738281,-1.8563423156738281,-1.8563423156738281,-1.8563423156738281,1,1,1.0,2,-1.8563423156738281,0.0,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 const − stefan (직접 catboost_lo, r=10)",covonly,Greenland,2,-1.8563423156738281,-1.8563423156738281,-1.8563423156738281,-1.8563423156738281,-1.8563423156738281,1,1,1.0,2,-1.8563423156738281,0.0,exploratory,augment_direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Lena,0,3.3274632626497165,3.3274632626497165,3.2892183942665305,-0.16580714884027614,2.214814197170034,1496,11,0.45454545454545453,3,3.639413417254484,0.3183182022515361,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Lena,1,4.076466851262825,4.076466851262825,4.0285782897752895,1.2990156601478755,3.855657411952316,1478,11,0.36363636363636365,3,3.639413417254484,0.3183182022515361,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Lena,2,3.5143101378509116,3.5143101378509116,3.477758480185404,3.0801053951745665,4.1209437191412865,1687,5,0.4,3,3.639413417254484,0.3183182022515361,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Canada,0,5.311074841479923,5.311074841479923,5.293092843089465,-0.20292294480400605,4.809927394693049,374,19,0.47368421052631576,3,4.626517061668513,0.7443478551095524,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Canada,1,4.976781368021382,4.976781368021382,4.962096867364366,3.4984752980246157,4.696644341701567,393,20,0.35,3,4.626517061668513,0.7443478551095524,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Canada,2,3.5916949755042338,3.5916949755042338,3.5660920327191867,3.929446836539185,3.809788645219914,385,12,0.4166666666666667,3,4.626517061668513,0.7443478551095524,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Russia_W,0,2.8686193481226447,2.8686193481226447,2.8584313316750922,2.9889787441984184,2.8686193481226447,12,8,0.375,3,3.3425524891484577,0.7692468495214131,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Russia_W,1,2.7314909901813587,2.7314909901813587,2.7252060165937735,2.305985172898133,2.7314909901813587,12,7,0.2857142857142857,3,3.3425524891484577,0.7692468495214131,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Russia_W,2,4.427547129141369,4.427547129141369,4.425042995263354,4.571454927960775,4.427547129141369,17,12,0.16666666666666666,3,3.3425524891484577,0.7692468495214131,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Russia_C,0,5.500484784267589,5.500484784267589,5.477025530486657,4.793891906738279,5.500484784267589,3,3,0.0,3,2.356020610198929,3.882527688806135,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Russia_C,1,4.6819022561152535,4.6819022561152535,4.686937137529242,2.016683951355404,4.6819022561152535,3,2,0.5,3,2.356020610198929,3.882527688806135,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Russia_C,2,-3.1143252097860548,-3.1143252097860548,-3.1139194901182776,-2.6022086864880642,-3.1143252097860548,4,3,0.6666666666666666,3,2.356020610198929,3.882527688806135,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Russia_E,0,3.401235441904865,3.401235441904865,3.35955234086725,3.058017204330076,3.401235441904865,12,9,0.2222222222222222,3,2.8623125246019296,0.43740259180387436,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Russia_E,1,2.3298812808431415,2.3298812808431415,2.312744048601587,3.3606201286346575,2.3298812808431415,14,10,0.2,3,2.8623125246019296,0.43740259180387436,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Russia_E,2,2.8558208510577834,2.8558208510577834,2.8364825399723657,1.929574430414106,2.8558208510577834,11,8,0.25,3,2.8623125246019296,0.43740259180387436,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Greenland,0,-2.2352091471354165,-2.2352091471354165,-2.2352091471354143,-2.2352091471354165,-2.2352091471354165,1,1,1.0,2,-2.2352091471354165,0.0,exploratory,direct
X-pseudo,"covonly: 유사라벨 none − stefan (직접 catboost_lo, r=10)",covonly,Greenland,2,-2.2352091471354165,-2.2352091471354165,-2.2352091471354143,-2.2352091471354165,-2.2352091471354165,1,1,1.0,2,-2.2352091471354165,0.0,exploratory,direct
