Event,macro,lat,lon,n_years,year_min,year_max,alt_mean,alt_sd,alt_min,alt_max,alt_sd_detr,se_multiyear,cv
CALM_R17,Russia_E,68.8167,161.0,26,1996,2023,55.19230769230769,7.467364894093392,43.0,73.0,5.796810412715902,1.4644707426961512,0.13529720365604753
CALM_R18,Russia_E,68.9255,161.5046,27,1996,2022,78.18518518518519,9.207175450271366,45.0,90.0,8.465384999085572,1.771921741563429,0.1177611260811591
CALM_R18A,Russia_E,68.7417,161.5042,20,2003,2022,101.6,10.530157193808448,72.0,119.0,10.36002293375696,2.3546147299114115,0.10364327946661858
CALM_R19,Russia_E,68.8,160.95,25,1996,2023,88.4,13.671747023210546,56.0,112.0,10.00966614343364,2.734349404642109,0.15465777175577541
CALM_R1b,Russia_W,65.2338,72.5184,12,2013,2024,118.33333333333333,24.21244358263792,95.0,160.0,9.919371925375751,6.9895304100873155,0.20461219928989793
CALM_R2,Russia_W,67.5833,64.1833,29,1996,2024,82.89655172413794,9.488131035239334,63.0,94.0,5.2303201488720825,1.7619017012569496,0.1144574875299254
CALM_R20,Russia_E,68.5167,161.4333,26,1996,2023,55.84615384615385,5.4235951743640145,46.0,65.0,3.982961119998276,1.0636545241503759,0.09711671799825371
CALM_R21,Russia_E,68.8333,161.0333,26,1996,2023,97.5,11.247221879201994,70.0,117.0,10.509701834393697,2.2057616859907188,0.11535612183796917
CALM_R22,Russia_E,69.3167,154.9833,21,1998,2023,52.76190476190476,3.8846462117516154,45.0,58.0,3.221248956272945,0.8476993006416776,0.07362596610720572
CALM_R23,Russia_W,67.3333,63.7333,24,1998,2022,138.125,25.353693667958826,76.0,178.0,11.764453041765334,5.1753010484443305,0.1835561532521906
CALM_R24,Russia_W,68.3,54.5,23,1999,2022,110.73913043478261,10.08697355866082,88.0,128.0,10.105029016653884,2.103279381193367,0.09108770783242985
CALM_R24A,Russia_W,68.2333,53.85,15,2010,2024,91.26666666666667,22.889382025817326,58.0,139.0,15.651574836795042,5.910013026064659,0.250796735125829
CALM_R25,Russia_E,69.85,159.5,21,1999,2023,45.80952380952381,9.667569744351718,23.0,65.0,9.698777651422128,2.109636673321744,0.21103842477275062
CALM_R26,Russia_E,68.4167,161.2167,1,1996,1996,45.0,,45.0,45.0,,,
CALM_R27,Russia_W,65.6,-171.05,25,2000,2024,67.48,6.056126374727222,59.0,78.0,5.403055620058403,1.2112252749454444,0.0897469824351989
CALM_R28,Russia_E,71.8617,141.0102,1,2001,2001,38.0,,38.0,38.0,,,
CALM_R29A,Russia_C,71.7855,129.4192,13,2001,2014,33.53846153846154,5.695252183696297,25.0,44.0,5.851502402086781,1.5795787519242503,0.1698125651102107
CALM_R29B,Russia_W,71.7855,71.4192,20,2004,2023,31.8,5.207282350102038,24.0,44.0,5.341972952092283,1.1643837312863017,0.16375101729880623
CALM_R29C,Russia_C,71.7855,129.4192,9,2015,2023,34.77777777777778,4.176654695380555,29.0,42.0,3.941335685288276,1.3922182317935183,0.12009550242308305
CALM_R3,Russia_W,69.7167,66.85,29,1995,2023,111.86206896551724,13.037649157977155,85.0,137.0,12.272438017867112,2.4210306694243235,0.11655111762679948
CALM_R30A,Russia_E,55.7507,160.2896,10,2003,2012,73.8,3.765338999051449,67.0,80.0,3.794533548209161,1.1907047399661164,0.051020853645683595
CALM_R30B,Russia_E,55.7652,160.3206,9,2004,2012,56.111111111111114,3.9510898637098975,49.0,63.0,3.0908210241252685,1.3170299545699657,0.07041546291760213
CALM_R30C,Russia_E,55.8909,160.5375,17,2006,2023,48.76470588235294,2.411675034200966,44.0,53.0,2.115019484119561,0.5849171118044509,0.04945533845767964
CALM_R31,Russia_E,70.55,147.4333,16,2004,2021,46.125,4.031128874149274,39.0,52.0,4.172601920207562,1.0077822185373184,0.08739574794903575
CALM_R31A,Russia_E,70.5667,147.4167,5,2014,2018,41.2,3.9623225512317903,37.0,47.0,3.7947331922019507,1.7720045146669352,0.09617287745708228
CALM_R32,Russia_W,69.4333,88.4667,19,2005,2023,98.21052631578948,10.554509027837979,81.0,122.0,7.877047950655465,2.421370434264919,0.10746820553532775
CALM_R35,Russia_E,68.7333,158.9,17,2007,2023,40.705882352941174,5.382433300589439,32.0,52.0,5.557483325663936,1.3054318247748324,0.13222740767344
CALM_R36,Russia_E,69.1667,154.4333,19,2005,2023,40.578947368421055,4.140796883500732,31.0,46.0,3.5828827086037722,0.9499639558372555,0.1020429841589026
CALM_R37A,Russia_E,69.9833,153.5833,1,2005,2005,51.0,,51.0,51.0,,,
CALM_R37B,Russia_E,69.9833,153.5833,1,2005,2005,54.0,,54.0,54.0,,,
