target,anchor,method,lam,scope,n,rmse_mean,rmse_sd,rmse_med,rmse_p10,rmse_p90,rmse_beq_mean,bias_mean,delta_mean,win_frac,n_runs,n_splits,E_mean,E_sd
Canada,stefan_cci,shrink,0.0,n,20,26.17820916461893,2.5858639378809274,25.77838294301339,22.875230427633607,29.510366329902034,26.20453354191764,4.464599966176795,1.169442831000895,0.205,200,10,1.559516884153914,0.25052564421421164
Canada,stefan_cci,shrink,0.0,n,40,26.27675472410538,2.4478018152948198,25.863869894719315,23.320882196380968,30.15963620122178,26.275292080054818,4.43025659793389,1.2679883904873483,0.185,200,10,1.558628559259488,0.254290876415317
Canada,stefan_cci,shrink,0.0,n,80,26.175841313595853,2.340036445778405,25.518357925971863,23.46260560710609,29.33200386338517,26.278307733983638,4.714576962253808,1.1670749799778168,0.165,200,10,1.5719406552586337,0.22812089868084007
Canada,stefan_cci,shrink_k10,0.0,allA,319,26.980941090654277,,26.980941090654277,26.980941090654277,26.980941090654277,27.46749022977822,17.50347039408551,3.028029419333027,0.0,1,1,1.8790262941761091,
Canada,stefan_cci,shrink_k10,0.0,allA,325,25.69284937800253,,25.69284937800253,25.69284937800253,25.69284937800253,26.22393070558638,-6.706883196998829,0.9967800787826384,0.0,1,1,1.305956736704398,
Canada,stefan_cci,shrink_k10,0.0,allA,355,25.281077030573776,,25.281077030573776,25.281077030573776,25.281077030573776,25.566776311386977,-6.557282387003695,0.9961880939154035,0.0,1,1,1.3426881340507943,
Canada,stefan_cci,shrink_k10,0.0,allA,360,24.74396652216188,,24.74396652216188,24.74396652216188,24.74396652216188,28.643628143106987,15.700861161741699,2.535165254456544,0.0,1,1,1.8445721415860261,
Canada,stefan_cci,shrink_k10,0.0,allA,363,30.472943486592992,,30.472943486592992,30.472943486592992,30.472943486592992,27.775739207526428,5.11198383885576,-0.5329681592545903,1.0,1,1,1.4833464642933023,
Canada,stefan_cci,shrink_k10,0.0,allA,375,28.891383603887334,,28.891383603887334,28.891383603887334,28.891383603887334,23.10820787754691,-4.5176835388158825,0.37107813110315035,0.0,1,1,1.3359364245625955,
Canada,stefan_cci,shrink_k10,0.0,allA,396,23.041640774402964,,23.041640774402964,23.041640774402964,23.041640774402964,26.537957228209674,7.003644339126065,0.1835883008332928,0.0,1,1,1.6469470572019158,
Canada,stefan_cci,shrink_k10,0.0,allA,404,23.584054846917642,,23.584054846917642,23.584054846917642,23.584054846917642,24.401117172558237,16.268068594562237,2.4840312063260335,0.0,1,1,1.8157310481100224,
Canada,stefan_cci,shrink_k10,0.0,allA,406,28.261584529446207,,28.261584529446207,28.261584529446207,28.261584529446207,23.147989343879907,-7.180004678301044,0.9899796966222958,0.0,1,1,1.3203824370615784,
Canada,stefan_cci,shrink_k10,0.0,allA,420,24.32777698328178,,24.32777698328178,24.32777698328178,24.32777698328178,29.186086706744597,8.298172418961217,0.1386828876232542,0.0,1,1,1.6364913858217065,
Canada,stefan_cci,shrink_k10,0.0,n,3,25.305313504813427,2.778149449574904,24.62841079847381,22.18153618015292,29.068310653014144,25.997834213943992,5.660815111450973,0.2965471711953921,0.39,200,10,1.6131445157773765,0.10385761080777421
Canada,stefan_cci,shrink_k10,0.0,n,5,25.346663763837793,2.7717641303257605,24.796131607355523,22.153565791439803,28.891886790660337,25.957480208174992,5.227345809438902,0.3378974302197561,0.365,200,10,1.592129243536678,0.12165607163093048
Canada,stefan_cci,shrink_k10,0.0,n,10,25.55653094767635,2.606702182780743,24.955577423737317,22.55620591190558,29.051964605777815,26.01503018130133,5.03552448444923,0.547764614058317,0.25,200,10,1.5842492732141047,0.15403235121612951
Canada,stefan_cci,shrink_k10,0.0,n,20,25.754263330354032,2.565770828944025,25.11573239625958,22.757703245541816,29.040866300622234,26.052952968933667,4.835597166865566,0.745496996736002,0.22,200,10,1.575762877607831,0.17933601598644955
Canada,stefan_cci,shrink_k10,0.0,n,40,25.9959063802939,2.4464365204811447,25.36392098223189,23.128767892313462,29.8723156116891,26.167484089548147,4.658710346740452,0.9871400466758655,0.185,200,10,1.5685276117286748,0.21093514009419376
Canada,stefan_cci,shrink_k10,0.0,n,80,26.033991305506078,2.361725782328654,25.287762729675922,23.32471632618709,29.200174914795635,26.22035376699453,4.8145647878830165,1.0252249718880462,0.165,200,10,1.5761792024937247,0.20651320788733665
Lena,none,direct_pseudo,1.0,allA,1120,26.52534473211846,0.22543080897457002,26.55577249770656,26.340150875772355,26.69836748222932,28.40617826120787,-4.4340116244356595,1.3140506809965895,0.0,3,1,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,allA,1293,17.847611641043162,0.4577562667347749,17.93691806461651,17.468810186867582,18.190690525789407,19.928678365895404,8.978522565064399,-2.1993655419704594,1.0,3,1,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,allA,1474,16.91515478424856,0.27097414955641536,16.910037476682877,16.699427919939154,17.132928571584245,15.649311153104856,8.819908181031,-2.8000160638536022,1.0,3,1,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,allA,1505,18.474087146006994,0.4166616272583425,18.593401128932168,18.127307600533612,18.773141098310308,24.14931518963383,8.095849268597561,2.6658859306890914,0.0,3,1,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,allA,1519,16.92232857023846,0.5322138898656028,17.13015307317673,16.258408247166436,17.378424390372217,22.986491068027956,5.157017814913439,0.9445814249670942,0.0,6,2,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,allA,1533,26.928085646220648,0.7490754367169191,27.205077933323096,26.304985597014074,27.44038878058624,25.39036861879168,12.965239284765198,3.6299902096491423,0.0,3,1,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,allA,1583,24.706637089583808,0.6188981640908694,24.566488205118144,24.249162655066286,25.220171077887603,26.46324046600336,8.694877792435735,1.2715322744248023,0.0,3,1,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,allA,1586,19.353194187711203,0.34727539707887245,19.527837421745783,19.068177547403444,19.56835353440513,26.234666613625123,7.182151149782054,-1.5844594992649128,1.0,3,1,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,allA,1737,21.61220810077816,0.28646506273198985,21.547702058569357,21.40033712580931,21.849881492630537,23.516318818607363,3.191573918641866,-2.3969139140336857,1.0,3,1,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,n,0,20.514406130333004,3.3540315792499666,20.363750093103665,16.028113879968558,24.187707904768505,23.509417748828813,5.951606074407747,0.07269477617133013,0.4,30,10,1.6166886671406269,0.0
Lena,none,direct_pseudo,1.0,n,3,20.48721621809176,3.3168948124369293,20.367242817972652,16.048770904255225,24.20631598122104,23.505847255569513,5.826513922011495,0.045504863930082365,0.4066666666666667,150,10,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,n,5,20.510171556488913,3.285695754803656,20.418681799338458,16.107713680376268,24.222200707111256,23.4563773510891,5.9245643360038205,0.06846020232723614,0.3933333333333333,150,10,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,n,10,20.550275897435984,3.3451010640568613,20.3317842549624,16.103360212525182,24.88899092559966,23.501912255071865,5.947195124389582,0.1085645432743064,0.4533333333333333,150,10,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,n,20,20.60322562543729,3.351792963467315,20.413173335462474,16.076284209571988,24.74633961332089,23.63751932976381,6.097418696643491,0.16151427127561224,0.4,150,10,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,n,40,20.60602054706197,3.4327400306328113,20.454083392053956,15.973609688761684,24.92945132814399,23.699871000376024,5.7816641916352935,0.16430919290029578,0.3466666666666667,150,10,1.616688667140627,0.0
Lena,none,direct_pseudo,1.0,n,80,20.61335496889793,3.199979024756936,20.61552741925175,16.093350567104153,24.65324877779887,23.45701304036491,6.238450857350309,0.17164361473625311,0.44666666666666666,150,10,1.616688667140627,0.0
Lena,stefan,both,0.25,allA,1120,24.46474252508338,0.025379561228618203,24.476404557420988,24.44378334426108,24.48103689297064,28.526572238666535,-0.4424105825374201,-0.7465515260384864,1.0,3,1,1.4187916840841523,0.0
Lena,stefan,both,0.25,allA,1293,19.17311379490366,0.1016451756085775,19.194672684167042,19.088869435679747,19.248734598422217,18.43504530728313,8.545442656838281,-0.873863388109965,1.0,3,1,1.5819234812241458,0.0
Lena,stefan,both,0.25,allA,1474,19.03315957208846,0.12510511531320453,19.012268380602233,18.93830582858994,19.13636979218147,12.22889000604399,9.448808086243288,-0.6820112760137059,1.0,3,1,1.586290070478331,0.0
