cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,seed,n_splits,n_cells,n_blocks,coverage,cov_ci_lo,cov_ci_hi,width_mean,width_median,interval_score,is_ci_lo,is_ci_hi,is_width_part,is_under_part,is_over_part,rmse_point,n_seed,family_tag,note
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,1.0,1,1,3.0,3.0,0.0,,,54.454132715861,32.0404691696167,371.08202759736497,,,54.454132715861,78.16736009385849,238.4605347876455,74.03596074419062,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,1.0,2,1,3.0,3.0,0.3333333333333333,,,48.87794351577759,35.60213756561279,491.2640794149411,,,48.87794351577759,15.129748450385184,427.2563874487783,71.08002652978415,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,cfm,0,1.0,mean,1,3.0,3.0,0.1111111111111111,,,42.19453936152988,30.120192448298138,539.7562599478204,,,42.19453936152988,61.84529675377738,435.7164238325131,70.32038544067153,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.25,0,1,3.0,3.0,0.0,,,35.14191826184591,12.133442401885986,206.88114349358997,,,35.14191826184591,28.888635105556897,142.85059012618717,52.53473039968924,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.25,1,1,3.0,3.0,0.6666666666666666,,,6.268358985582988,6.24987268447876,795.1763672992296,,,6.268358985582988,0.0,788.9080083136465,69.95509985202062,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.25,2,1,3.0,3.0,0.6666666666666666,,,7.850869158903758,8.297968208789825,803.439758654903,,,7.850869158903758,0.0,795.5888894959993,73.07690517582039,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.25,mean,1,3.0,3.0,0.4444444444444444,,,16.420382135444218,8.893761098384857,601.8324231492409,,,16.420382135444218,9.629545035185632,575.782495978611,65.18891180917676,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.5,0,1,3.0,3.0,0.3333333333333333,,,70.28383652369182,24.266884803771973,147.41767750846012,,,70.28383652369182,77.13384098476833,0.0,35.916018044992654,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.5,1,1,3.0,3.0,0.6666666666666666,,,12.536717971165976,12.49974536895752,778.7257467671938,,,12.536717971165976,0.0,766.1890287960277,69.66332115562254,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.5,2,1,3.0,3.0,0.6666666666666666,,,15.701738317807516,16.59593641757965,795.2525294785406,,,15.701738317807516,0.0,779.5507911607332,75.93157165815926,1.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.5,mean,1,3.0,3.0,0.5555555555555555,,,32.840764270888435,17.787522196769714,573.7986512513982,,,32.840764270888435,25.71128032825611,515.2466066522537,60.503636952924815,3.0,residual,
labels,Russia_C,alaska,x25,stefan_cci,none,0.0,ddpm,0,0.75,0,1,3.0,3.0,0.3333333333333333,,,105.42575478553772,36.40032720565796,230.80480164951746,,,105.42575478553772,125.37904686397974,0.0,23.139351807274963,1.0,residual,
