target,anchor,method,lam,physics_rmse,n0,n3,n3_win,n5,n5_win,n10,n10_win,n20,n20_win,n40,n40_win,n80,n80_win,rmse_allA,n_allA,n_min_mean,n_min_win90,beats_physics_all_larger_n
Russia_E,stefan_cci,refit,0.0,25.543293639490127,25.543293639490127,25.62902523801875,0.465,24.974421918330837,0.65,24.536208261732472,0.855,,,,,,,19.699600125511722,16.0,5,-1,True
Russia_E,stefan_cci,resid,0.25,25.543293639490127,25.29651168246446,25.143350561461844,0.6066666666666667,25.139543499987017,0.6233333333333333,25.216690895982705,0.6033333333333334,,,,,,,20.350125325533345,16.0,3,-1,True
Russia_E,stefan_cci,resid,0.5,25.543293639490127,25.360720186981816,25.37147535343788,0.5866666666666667,25.256421930655772,0.5933333333333334,25.29042088930942,0.6,,,,,,,20.046418910722718,16.0,3,-1,True
Russia_E,stefan_cci,shrink,0.0,25.543293639490127,25.543293639490127,25.136449376874033,0.55,24.864465857419827,0.685,24.559686718548793,0.86,,,,,,,19.740003353495702,16.0,3,-1,True
Russia_E,stefan_cci,shrink_k10,0.0,25.543293639490127,25.543293639490127,25.181746997082787,0.565,25.04823867878601,0.705,24.809014601343165,0.86,,,,,,,20.040825943710814,16.0,3,-1,True
Russia_W,none,direct_pseudo,1.0,39.79160944647248,39.8719252578105,37.58931426977024,0.8133333333333334,35.51999817828538,0.8666666666666667,34.30059954125166,0.9533333333333334,,,,,,,28.920166237950976,15.0,3,10,True
Russia_W,stefan,both,0.25,39.79160944647248,39.9399058164541,28.639418918330236,0.99,27.758916391655962,1.0,27.66509374601164,1.0,,,,,,,28.43654052435574,15.0,3,3,True
Russia_W,stefan,both,0.5,39.79160944647248,40.139747365024355,28.48061328613615,0.99,27.52255887524848,1.0,27.410942509289434,1.0,,,,,,,28.53753426775467,15.0,3,3,True
Russia_W,stefan,both_ls,0.25,39.79160944647248,39.9399058164541,30.02775863683789,0.93,28.915889734357847,0.9,28.88112508439792,0.93,,,,,,,28.857642952054807,15.0,3,3,True
Russia_W,stefan,both_ls,0.5,39.79160944647248,40.139747365024355,29.805217024235372,0.93,28.64865769311188,0.91,28.64037423277198,0.9366666666666666,,,,,,,28.895832355067594,15.0,3,3,True
Russia_W,stefan,locscale,0.0,39.79160944647248,39.79160944647248,,,102.94471255888719,0.685,32.903432466726706,0.82,,,,,,,29.85376421711829,15.0,10,-1,True
Russia_W,stefan,refit,0.0,39.79160944647248,39.79160944647248,30.598571140217715,0.9,29.535702795019382,0.895,29.167753205626415,0.925,,,,,,,28.88336748219363,15.0,3,3,True
