cond,target,dset,xset,anchor,pseudo,r,resid,iw,lam,rmse,rmse_split_sd,rmse_ens,bias,n,n_blocks,n_split,n_seed,fit_s,rmse_cc,n_cc,regime,family_tag
covonly,Canada,alaska,x25,stefan,const,10.0,catboost_lo,0,0.25,31.299777777777777,1.810333834571011,31.29936581377936,-8.746555555555556,374,19,3,3,1.1888888888888889,31.326111544803585,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,const,10.0,catboost_lo,0,0.5,33.31355555555556,1.5725351906796625,33.312487670246085,-12.528777777777778,374,19,3,3,1.1888888888888889,33.34187456346958,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,const,10.0,catboost_lo,0,0.75,35.702666666666666,1.479876608970418,35.70042368604634,-16.31122222222222,374,19,3,3,1.1888888888888889,35.73306574220242,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,const,10.0,catboost_lo,0,1.0,38.39788888888889,1.5116146015779657,38.39454104322049,-20.093555555555554,374,19,3,3,1.1888888888888889,38.430898992160316,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,const_t,10.0,catboost_lo,0,0.0,29.73533333333333,2.187843306394068,29.735199689912818,-4.964333333333333,374,19,3,3,1.1444444444444446,29.760095685463657,373,main,analytic
covonly,Canada,alaska,x25,stefan,const_t,10.0,catboost_lo,0,0.25,30.323666666666668,2.321329863102901,30.323657921542786,-6.332888888888888,374,19,3,3,1.1444444444444446,30.34912924404597,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,const_t,10.0,catboost_lo,0,0.5,31.01177777777778,2.500390021428511,31.011293445752642,-7.701666666666667,374,19,3,3,1.1444444444444446,31.03728569555364,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,const_t,10.0,catboost_lo,0,0.75,31.792444444444442,2.7231743799660912,31.791319523832204,-9.070222222222222,374,19,3,3,1.1444444444444446,31.817774998930663,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,const_t,10.0,catboost_lo,0,1.0,32.65855555555556,2.9840916230596575,32.65680224172588,-10.439,374,19,3,3,1.1444444444444446,32.683662257648784,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,edaphic_k2,10.0,catboost_lo,0,0.0,29.73533333333333,2.187843306394068,29.735199689912818,-4.964333333333333,374,19,3,3,1.2555555555555555,29.760095685463657,373,main,analytic
covonly,Canada,alaska,x25,stefan,edaphic_k2,10.0,catboost_lo,0,0.25,29.246333333333336,1.9510421431748837,29.245868100381255,-3.593,374,19,3,3,1.2555555555555555,29.270953888622433,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,edaphic_k2,10.0,catboost_lo,0,0.5,28.849333333333334,1.7125622129818638,28.84721037600099,-2.221888888888889,374,19,3,3,1.2555555555555555,28.87367674891956,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,edaphic_k2,10.0,catboost_lo,0,0.75,28.547666666666668,1.483258724715432,28.542609647250675,-0.8506666666666666,374,19,3,3,1.2555555555555555,28.571763753397164,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,edaphic_k2,10.0,catboost_lo,0,1.0,28.343555555555554,1.2869068140887847,28.334583187175692,0.5205555555555557,374,19,3,3,1.2555555555555555,28.367801503638344,373,main,formula_mix
covonly,Canada,alaska,x25,stefan,ku_cal,10.0,catboost_lo,0,0.0,29.73533333333333,2.187843306394068,29.735199689912818,-4.964333333333333,374,19,3,3,1.2555555555555555,29.760095685463657,373,main,analytic
covonly,Canada,alaska,x25,stefan,ku_cal,10.0,catboost_lo,0,0.25,28.009222222222224,2.257235411671477,28.007720273647717,0.16044444444444453,374,19,3,3,1.2555555555555555,28.032095695052934,373,main,formula_mix
